resource_id,site_id,type,plan,range,name,address,latitude,longitude
2,7,1,50,400,지상원룸빌,"서울특별시 강동구 천호대로197길 38-9",37.5377719000,127.1474174000
2,7,1,50,400,재성빌딩,"서울특별시 강동구 천호대로187길 38",37.5359263000,127.1428872000
2,7,1,50,400,한빛아파트,"서울특별시 강동구 성안로 170",37.5380418000,127.1360493000
2,7,1,50,400,태영빌딩,"서울특별시 강동구 양재대로 1548",37.5436880000,127.1425064000
2,7,1,50,400,코튼빌딩,"서울특별시 강동구 천중로 201",37.5410867000,127.1425825000
2,7,1,50,400,태성아파트,"서울특별시 강동구 명일로17길 40",37.5390802000,127.1442475000
2,7,1,50,400,호석빌딩,"서울특별시 강동구 양재대로 1498",37.5393144000,127.1409212000
2,7,1,50,400,행복한그린빌,"서울특별시 강동구 명일로 196-1",37.5363797000,127.1461057000
2,7,1,50,400,대일하이츠빌라,"서울특별시 성북구 삼양로9길 13-20",37.6078752000,127.0223552000
2,7,1,50,400,학동빌딩,"서울특별시 성북구 도봉로 23",37.6113993000,127.0300398000
2,7,1,50,400,서우철강빌딩,"서울특별시 성북구 동소문로 231",37.6028701000,127.0223893000
2,7,1,50,400,대성빌딩,"서울특별시 종로구 수표로28길 5",37.5729186000,126.9887298000
2,7,1,50,400,낙원빌딩,"서울특별시 종로구 종로17길 52",37.5724513000,126.9885139000
2,7,1,50,400,조양빌딩,"서울특별시 종로구 종로17길 50",37.5723808000,126.9884413000
2,7,1,50,400,트윈빌A,"서울특별시 서대문구 명지대1나길 10",37.5810351000,126.9224934000
2,7,1,50,400,한성빌라,"서울특별시 서대문구 증가로12가길 75",37.5807955000,126.9181441000
2,7,1,50,400,현우빌라,"서울특별시 서대문구 가재울로8길 5-25",37.5759764000,126.9219668000
2,7,1,50,400,원이빌라,"서울특별시 서대문구 가재울로6길 62",37.5767135000,126.9244268000
2,7,1,50,400,은하빌라,"서울특별시 서대문구 명지대1길 28",37.5817419000,126.9239333000
2,7,1,50,400,이화빌라,"서울특별시 서대문구 증가로10길 16-17",37.5784151000,126.9241697000
2,7,1,50,400,청송빌라,"서울특별시 서대문구 명지대5길 10-20",37.5837651000,126.9227690000
2,7,1,50,400,세은빌라,"서울특별시 서대문구 거북골로 59-14",37.5778494000,126.9224498000
2,7,1,50,400,세명파크빌,"서울특별시 서대문구 증가로6길 18-55",37.5771637000,126.9260723000
2,7,1,50,400,신흥아트빌,"서울특별시 서대문구 명지대1다길 11",37.5815304000,126.9231423000
2,7,1,50,400,영진아트빌라,"서울특별시 서대문구 가재울로2안길 30",37.5748998000,126.9243867000
2,7,1,50,400,동림빌딩,"서울특별시 서대문구 모래내로13길 25-3",37.5700147000,126.9170063000
2,7,1,50,400,로하스오피스텔,"서울특별시 서대문구 모래내로 223",37.5743309000,126.9237994000
2,7,1,50,400,명지빌라,"서울특별시 서대문구 명지대1다길 1",37.5816319000,126.9236536000
2,7,1,50,400,건스빌,"서울특별시 서대문구 명지대5길 10-9",37.5833841000,126.9225968000
2,7,1,50,400,고려그린빌,"서울특별시 서대문구 증가로6길 34-28",37.5771404000,126.9264531000
2,7,1,50,400,금성아파트,"서울특별시 서대문구 수색로4가길 12-18",37.5710544000,126.9152844000
2,7,1,50,400,흥국생명빌딩,"서울특별시 중구 남대문로 5",37.5607987000,126.9764390000
2,7,1,50,400,연세대학교세브란스빌딩,"서울특별시 중구 통일로 10",37.5570913000,126.9736575000
2,5,1,50,400,호경빌딩,"서울특별시 중구 퇴계로18길 10",37.5604230000,126.9850472000
2,5,1,50,400,크로스빌딩,"서울특별시 중구 퇴계로20나길 26",37.5580486000,126.9851446000
2,5,1,50,400,대명빌딩,"서울특별시 중구 퇴계로20나길 16",37.5583291000,126.9852542000
2,5,1,50,400,송서스토리빌딩,"서울특별시 중구 남대문시장4길 27-6",37.5587752000,126.9776952000
2,5,1,50,400,"남창동 남선빌딩","서울특별시 중구 퇴계로2길 23",37.5565995000,126.9774991000
2,5,1,50,400,한성빌라,"서울특별시 관악구 남부순환로256길 8",37.4750725000,126.9716269000
2,5,1,50,400,한일빌딩,"서울특별시 관악구 승방2길 2",37.4739693000,126.9813560000
2,5,1,50,400,힐탑빌라,"서울특별시 관악구 남현12길 41",37.4722648000,126.9716651000
2,5,1,50,400,화일빌라,"서울특별시 관악구 남부순환로260가길 17",37.4737118000,126.9728703000
2,5,1,50,400,조은빌,"서울특별시 관악구 남현1가길 42-9",37.4742414000,126.9773408000
2,5,1,50,400,제일빌딩,"서울특별시 관악구 과천대로 949",37.4753453000,126.9813293000
2,5,1,50,400,코리아트빌라,"서울특별시 관악구 승방길 82-8",37.4723005000,126.9773686000
2,5,1,50,400,탑빌하우스,"서울특별시 관악구 남현2길 65-6",37.4750848000,126.9739472000
2,5,1,50,400,하이브아크빌,"서울특별시 관악구 남현길 66-7",37.4739571000,126.9755802000
2,5,1,50,400,한백리츠빌,"서울특별시 관악구 남현2길 81",37.4747127000,126.9733897000
2,5,1,50,400,예촌그린아파트,"서울특별시 관악구 남부순환로256나길 21",37.4726391000,126.9730426000
2,5,1,50,400,우림빌라,"서울특별시 관악구 승방3가길 63",37.4716189000,126.9783120000
2,5,1,50,400,예술인빌라,"서울특별시 관악구 남현6길 37",37.4733730000,126.9745914000
