plan,range,site_id,type,name,address,latitude,longitude
500,200,3,1,한성빌라,"서울특별시 광진구 자양로44다길 11",37.5503166000,127.0953088000
500,200,3,1,태운빌라,"서울특별시 광진구 구의강변로3길 27",37.5361378000,127.0906485000
500,200,3,1,테크노빌라,"서울특별시 광진구 아차산로62길 14-18",37.5386584000,127.0928032000
500,200,3,1,파랑새빌라,"서울특별시 광진구 영화사로11길 13",37.5553871000,127.0939019000
500,200,3,1,파크빌,"서울특별시 광진구 자양로26길 39-7",37.5417316000,127.0862604000
500,200,3,1,평강오피스텔,"서울특별시 광진구 구의강변로 27",37.5333567000,127.0913119000
500,200,3,1,청목파크빌,"서울특별시 광진구 영화사로 85",37.5548978000,127.0954835000
500,200,3,1,윤성빌,"서울특별시 광진구 구의강변로7길 3",37.5380830000,127.0933304000
500,200,3,1,정일빌딩,"서울특별시 광진구 아차산로55길 30",37.5387322000,127.0866309000
500,200,3,1,주성힐스톤아파트,"서울특별시 광진구 광나루로44길 20",37.5435291000,127.0911795000
500,200,3,1,지민빌딩,"서울특별시 광진구 아차산로 479",37.5408101000,127.0948527000
